Message received: DSP is awake!
DSP Execution Timer = 0.275 msec
Message received: Iteration 0 is complete.
DSP Execution Timer = 0.946 msec
Message received: Iteration 1 is complete.
DSP Execution Timer = 0.153 msec
Message received: Iteration 2 is complete.
DSP Execution Timer = 0.275 msec
Message received: Iteration 3 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 4 is complete.
DSP Execution Timer = 0.245 msec
Message received: Iteration 5 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 6 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 7 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 8 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 9 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 10 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 11 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 12 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 13 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 14 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 15 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 16 is complete.
DSP Execution Timer = 0.245 msec
Message received: Iteration 17 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 18 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 19 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 20 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 21 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 22 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 23 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 24 is complete.
DSP Execution Timer = 1.068 msec
Message received: Iteration 25 is complete.
DSP Execution Timer = 0.274 msec
Message received: Iteration 26 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 27 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 28 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 29 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 30 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 31 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 32 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 33 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 34 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 35 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 36 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 37 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 38 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 39 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 40 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 41 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 42 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 43 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 44 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 45 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 46 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 47 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 48 is complete.
DSP Execution Timer = 0.275 msec
Message received: Iteration 49 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 50 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 51 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 52 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 53 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 54 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 55 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 56 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 57 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 58 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 59 is complete.
DSP Execution Timer = 0.245 msec
Message received: Iteration 60 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 61 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 62 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 63 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 64 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 65 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 66 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 67 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 68 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 69 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 70 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 71 is complete.
DSP Execution Timer = 0.367 msec
Message received: Iteration 72 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 73 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 74 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 75 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 76 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 77 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 78 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 79 is complete.
DSP Execution Timer = 0.245 msec
Message received: Iteration 80 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 81 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 82 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 83 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 84 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 85 is complete.
DSP Execution Timer = 0.245 msec
Message received: Iteration 86 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 87 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 88 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 89 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 90 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 91 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 92 is complete.
DSP Execution Timer = 0.213 msec
Message received: Iteration 93 is complete.
DSP Execution Timer = 0.946 msec
Message received: Iteration 94 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 95 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 96 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 97 is complete.
DSP Execution Timer = 0.214 msec
Message received: Iteration 98 is complete.
DSP Execution Timer = 0.244 msec
Message received: Iteration 99 is complete.
Transferring 100 iterations took 0 seconds 34516 microseconds.
RoundTrip Time for 1 message is 345 microseconds.
Initialise DSP Timer = 19.104 msec
Message Passing Time:0

